"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"HUN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",61.189,
"HUN","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",69.676,
"HUN","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",62.943,
"HUN","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"ITA","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",65.019,
"ITA","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",63.248,
"ITA","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",61.715,
"ITA","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",64.752,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",65.905,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",67.584,
"JPN","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"LUX","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",95.875,
"LUX","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",93.341,
"LUX","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",92.393,
"LUX","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",32.22,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",28.817,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",29.136,
"MEX","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"NZL","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",51.904,
"NZL","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",51.033,
"NZL","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",51.591,
"NZL","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",3.956,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",3.718,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",4.024,
"NOR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",23.998,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",22.416,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",19.776,
"SVK","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"BRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",,"M"
"BRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",,"M"
"BRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",,"M"
"BRA","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"IDN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"IDN","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",,"M"
"IDN","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",76.136,
"IDN","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2013",48.507,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2014",48.036,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2015",41.611,
"ISR","EDUEXPTRY","PRIV","PC_EDUEXP","A","2016",,"M"
"SVN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",83.818,
"SVN","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",82.592,
"SVN","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",83.327,
"SVN","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"ZAF","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",,"M"
"ZAF","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",,"M"
"ZAF","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",,"M"
"ZAF","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"FIN","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",96.078,
"FIN","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",96.484,
"FIN","EDUEXPTRY","PUB","PC_EDUEXP","A","2015",93.058,
"FIN","EDUEXPTRY","PUB","PC_EDUEXP","A","2016",,"M"
"GRC","EDUEXPTRY","PUB","PC_EDUEXP","A","2013",74.466,
"GRC","EDUEXPTRY","PUB","PC_EDUEXP","A","2014",72.794,
