"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,6.0381343,,
"ESP","Spain","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,6.1119642,,
"ESP","Spain","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,6.4750475,,
"TUR","Turkey","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.4058055,,
"TUR","Turkey","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.8869323,,
"TUR","Turkey","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.8032728,,
"MEX","Mexico","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,0.4949543,,
"MEX","Mexico","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,0.5115354,,
"MEX","Mexico","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,0.5286234,,
"SVK","Slovak Republic","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,2.1185557,,
"SVK","Slovak Republic","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,2.1185557,,
"SVK","Slovak Republic","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,2.1185557,,
"FRA","France","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,11.246806,,
"FRA","France","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,11.296315,,
"FRA","France","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,11.284959,,
"JPN","Japan","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,7.602242,,
"JPN","Japan","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,7.8477123,,
"JPN","Japan","PPP","In 2017 constant prices at 2017 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,7.9878352,,
"NLD","Netherlands","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,9.9026676,,
"NLD","Netherlands","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,10.062683,,
"NLD","Netherlands","EXR","In 2017 constant prices at 2017 USD exchange rates","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,10.10451,,
