"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2015","2015",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2016","2016",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUS","Australia","2017","2017",100,"E","Estimated value"
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2015","2015",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","AUT","Austria","2016","2016",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2015","2015",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","BEL","Belgium","2016","2016",99,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CAN","Canada","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","CZE","Czech Republic","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DNK","Denmark","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FIN","Finland","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2015","2015",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2016","2016",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","FRA","France","2017","2017",99.9,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2015","2015",89.2,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","DEU","Germany","2016","2016",89.3,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GRC","Greece","2015","2015",86,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GRC","Greece","2016","2016",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","GRC","Greece","2017","2017",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2015","2015",95,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","HUN","Hungary","2016","2016",95,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2015","2015",99.7,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2016","2016",99.6,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","ISL","Iceland","2017","2017",99.5,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2015","2015",100,,
"COVGCMED","Total health care","TOTPOPTX","% of total population","IRL","Ireland","2016","2016",100,,
