"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",48829.027796,
"AUT","GDP","TOT","USD_CAP","A","2016",50923.693301,
"BEL","GDP","TOT","USD_CAP","A","2016",46784.979375,
"CAN","GDP","TOT","USD_CAP","A","2016",44562.273836,
"CZE","GDP","TOT","USD_CAP","A","2016",34714.434668,
"DNK","GDP","TOT","USD_CAP","A","2016",49833.312815,
"FIN","GDP","TOT","USD_CAP","A","2016",43446.124099,
"FRA","GDP","TOT","USD_CAP","A","2016",41357.835264,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",49187.306457,
"GRC","GDP","TOT","USD_CAP","A","2016",27116.553831,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",26741.361611,
"ISL","GDP","TOT","USD_CAP","A","2016",51782.788232,
"IRL","GDP","TOT","USD_CAP","A","2016",70879.955583,
"ITA","GDP","TOT","USD_CAP","A","2016",38581.076518,
"JPN","GDP","TOT","USD_CAP","A","2016",42292.681306,
"KOR","GDP","TOT","USD_CAP","A","2016",36629.655177,
"LUX","GDP","TOT","USD_CAP","A","2016",102593.508569,
"MEX","GDP","TOT","USD_CAP","A","2016",18550.930539,"E"
"NLD","GDP","TOT","USD_CAP","A","2016",50961.235694,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",39241.025516,"E"
"NOR","GDP","TOT","USD_CAP","A","2016",58834.460566,
"POL","GDP","TOT","USD_CAP","A","2016",27093.682924,
"PRT","GDP","TOT","USD_CAP","A","2016",30821.510667,
"SVK","GDP","TOT","USD_CAP","A","2016",30487.384823,
"ESP","GDP","TOT","USD_CAP","A","2016",36338.997401,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",48690.146437,
"CHE","GDP","TOT","USD_CAP","A","2016",64025.876779,"P"
"TUR","GDP","TOT","USD_CAP","A","2016",25655.471775,"E"
"GBR","GDP","TOT","USD_CAP","A","2016",42757.048917,
"USA","GDP","TOT","USD_CAP","A","2016",57797.462214,
"CHL","GDP","TOT","USD_CAP","A","2016",23003.91117,
"CHN","GDP","TOT","USD_CAP","A","2016",15477.980833,
"COL","GDP","TOT","USD_CAP","A","2016",14149.938251,
"EST","GDP","TOT","USD_CAP","A","2016",30564.570312,
"IND","GDP","TOT","USD_CAP","A","2016",6730.580999,
"IDN","GDP","TOT","USD_CAP","A","2016",11720.226825,
"ISR","GDP","TOT","USD_CAP","A","2016",37460.903522,
"RUS","GDP","TOT","USD_CAP","A","2016",24788.679645,
"SVN","GDP","TOT","USD_CAP","A","2016",32729.606427,
"ZAF","GDP","TOT","USD_CAP","A","2016",13334.987018,
"EU28","GDP","TOT","USD_CAP","A","2016",39747.542114,
"OECD","GDP","TOT","USD_CAP","A","2016",42256.580803,"E"
"OECDE","GDP","TOT","USD_CAP","A","2016",39309.763804,"E"
"LVA","GDP","TOT","USD_CAP","A","2016",25703.957528,
"BRA","GDP","TOT","USD_CAP","A","2016",15224.54744,"E"
"LTU","GDP","TOT","USD_CAP","A","2016",30002.21073,
"SAU","GDP","TOT","USD_CAP","A","2016",54304.320339,
"EA19","GDP","TOT","USD_CAP","A","2016",42277.425622,
"ARG","GDP","TOT","USD_CAP","A","2016",20382.379902,
"CRI","GDP","TOT","USD_CAP","A","2016",16381.3827,
"BGR","GDP","TOT","USD_CAP","A","2016",19242.661345,
"HRV","GDP","TOT","USD_CAP","A","2016",23859.838656,
"CYP","GDP","TOT","USD_CAP","A","2016",33371.52349,"P"
"MLT","GDP","TOT","USD_CAP","A","2016",37873.313578,
"ROU","GDP","TOT","USD_CAP","A","2016",23129.568656,
"MKD","GDP","TOT","USD_CAP","A","2016",14692.391903,"E"
