"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTY","0_17","RT","A","2014",0.13,
"AUS","POVERTY","TOT","RT","A","2014",0.128,
"AUT","POVERTY","0_17","RT","A","2013",0.104,
"AUT","POVERTY","0_17","RT","A","2014",0.106,
"AUT","POVERTY","0_17","RT","A","2015",0.096,
"AUT","POVERTY","TOT","RT","A","2013",0.09,
"AUT","POVERTY","TOT","RT","A","2014",0.09,
"AUT","POVERTY","TOT","RT","A","2015",0.087,
"BEL","POVERTY","0_17","RT","A","2013",0.125,
"BEL","POVERTY","0_17","RT","A","2014",0.109,
"BEL","POVERTY","0_17","RT","A","2015",0.11,
"BEL","POVERTY","TOT","RT","A","2013",0.098,
"BEL","POVERTY","TOT","RT","A","2014",0.091,
"BEL","POVERTY","TOT","RT","A","2015",0.098,
"CAN","POVERTY","0_17","RT","A","2013",0.171,
"CAN","POVERTY","0_17","RT","A","2014",0.15,
"CAN","POVERTY","0_17","RT","A","2015",0.171,
"CAN","POVERTY","TOT","RT","A","2013",0.133,
"CAN","POVERTY","TOT","RT","A","2014",0.126,
"CAN","POVERTY","TOT","RT","A","2015",0.142,
"CZE","POVERTY","0_17","RT","A","2013",0.101,
"CZE","POVERTY","0_17","RT","A","2014",0.103,
"CZE","POVERTY","0_17","RT","A","2015",0.105,
"CZE","POVERTY","TOT","RT","A","2013",0.059,
"CZE","POVERTY","TOT","RT","A","2014",0.059,
"CZE","POVERTY","TOT","RT","A","2015",0.064,
"DNK","POVERTY","0_17","RT","A","2013",0.027,
"DNK","POVERTY","0_17","RT","A","2014",0.029,
"DNK","POVERTY","0_17","RT","A","2015",0.029,
"DNK","POVERTY","TOT","RT","A","2013",0.054,
"DNK","POVERTY","TOT","RT","A","2014",0.055,
"DNK","POVERTY","TOT","RT","A","2015",0.055,
"FIN","POVERTY","0_17","RT","A","2013",0.046,
"FIN","POVERTY","0_17","RT","A","2014",0.036,
"FIN","POVERTY","0_17","RT","A","2015",0.037,
"FIN","POVERTY","0_17","RT","A","2016",0.033,
"FIN","POVERTY","TOT","RT","A","2013",0.071,
"FIN","POVERTY","TOT","RT","A","2014",0.068,
"FIN","POVERTY","TOT","RT","A","2015",0.063,
"FIN","POVERTY","TOT","RT","A","2016",0.058,
"FRA","POVERTY","0_17","RT","A","2013",0.114,
"FRA","POVERTY","0_17","RT","A","2014",0.115,
"FRA","POVERTY","0_17","RT","A","2015",0.113,
"FRA","POVERTY","TOT","RT","A","2013",0.079,
"FRA","POVERTY","TOT","RT","A","2014",0.081,
"FRA","POVERTY","TOT","RT","A","2015",0.081,
"DEU","POVERTY","0_17","RT","A","2013",0.098,
"DEU","POVERTY","0_17","RT","A","2014",0.095,
"DEU","POVERTY","0_17","RT","A","2015",0.112,
"DEU","POVERTY","TOT","RT","A","2013",0.091,
"DEU","POVERTY","TOT","RT","A","2014",0.095,
"DEU","POVERTY","TOT","RT","A","2015",0.101,
"GRC","POVERTY","0_17","RT","A","2013",0.188,
"GRC","POVERTY","0_17","RT","A","2014",0.191,
"GRC","POVERTY","0_17","RT","A","2015",0.189,
"GRC","POVERTY","TOT","RT","A","2013",0.151,
"GRC","POVERTY","TOT","RT","A","2014",0.148,
"GRC","POVERTY","TOT","RT","A","2015",0.149,
"HUN","POVERTY","0_17","RT","A","2014",0.118,
"HUN","POVERTY","TOT","RT","A","2014",0.101,
"ISL","POVERTY","0_17","RT","A","2013",0.054,
"ISL","POVERTY","0_17","RT","A","2014",0.072,
"ISL","POVERTY","TOT","RT","A","2013",0.045,
"ISL","POVERTY","TOT","RT","A","2014",0.065,
"IRL","POVERTY","0_17","RT","A","2013",0.093,
"IRL","POVERTY","0_17","RT","A","2014",0.092,
"IRL","POVERTY","0_17","RT","A","2015",0.108,
"IRL","POVERTY","TOT","RT","A","2013",0.088,
"IRL","POVERTY","TOT","RT","A","2014",0.092,
"IRL","POVERTY","TOT","RT","A","2015",0.098,
"ITA","POVERTY","0_17","RT","A","2013",0.177,
"ITA","POVERTY","0_17","RT","A","2014",0.193,
"ITA","POVERTY","0_17","RT","A","2015",0.183,
"ITA","POVERTY","TOT","RT","A","2013",0.133,
"ITA","POVERTY","TOT","RT","A","2014",0.137,
"ITA","POVERTY","TOT","RT","A","2015",0.144,
"KOR","POVERTY","TOT","RT","A","2013",0.146,
"KOR","POVERTY","TOT","RT","A","2014",0.144,
"KOR","POVERTY","TOT","RT","A","2015",0.138,
"LUX","POVERTY","0_17","RT","A","2015",0.137,
"LUX","POVERTY","TOT","RT","A","2015",0.109,
"MEX","POVERTY","0_17","RT","A","2014",0.197,
"MEX","POVERTY","TOT","RT","A","2014",0.167,
"NLD","POVERTY","0_17","RT","A","2013",0.105,
"NLD","POVERTY","0_17","RT","A","2014",0.107,
"NLD","POVERTY","0_17","RT","A","2015",0.104,
"NLD","POVERTY","0_17","RT","A","2016",0.109,"P"
"NLD","POVERTY","TOT","RT","A","2013",0.079,
"NLD","POVERTY","TOT","RT","A","2014",0.078,
"NLD","POVERTY","TOT","RT","A","2015",0.078,
"NLD","POVERTY","TOT","RT","A","2016",0.083,"P"
"NZL","POVERTY","0_17","RT","A","2014",0.141,
"NZL","POVERTY","TOT","RT","A","2014",0.109,
"NOR","POVERTY","0_17","RT","A","2013",0.068,
"NOR","POVERTY","0_17","RT","A","2014",0.072,
"NOR","POVERTY","0_17","RT","A","2015",0.073,
"NOR","POVERTY","TOT","RT","A","2013",0.078,
"NOR","POVERTY","TOT","RT","A","2014",0.081,
"NOR","POVERTY","TOT","RT","A","2015",0.081,
"POL","POVERTY","0_17","RT","A","2013",0.134,
"POL","POVERTY","0_17","RT","A","2014",0.128,
"POL","POVERTY","0_17","RT","A","2015",0.134,
"POL","POVERTY","TOT","RT","A","2013",0.105,
"POL","POVERTY","TOT","RT","A","2014",0.104,
"POL","POVERTY","TOT","RT","A","2015",0.111,
"PRT","POVERTY","0_17","RT","A","2013",0.183,
"PRT","POVERTY","0_17","RT","A","2014",0.183,
"PRT","POVERTY","0_17","RT","A","2015",0.155,
"PRT","POVERTY","TOT","RT","A","2013",0.135,
"PRT","POVERTY","TOT","RT","A","2014",0.135,
"PRT","POVERTY","TOT","RT","A","2015",0.126,
"SVK","POVERTY","0_17","RT","A","2013",0.135,
"SVK","POVERTY","0_17","RT","A","2014",0.145,
"SVK","POVERTY","0_17","RT","A","2015",0.148,
"SVK","POVERTY","TOT","RT","A","2013",0.083,
"SVK","POVERTY","TOT","RT","A","2014",0.087,
"SVK","POVERTY","TOT","RT","A","2015",0.084,
"ESP","POVERTY","0_17","RT","A","2013",0.235,
"ESP","POVERTY","0_17","RT","A","2014",0.227,
"ESP","POVERTY","0_17","RT","A","2015",0.221,
"ESP","POVERTY","TOT","RT","A","2013",0.159,
"ESP","POVERTY","TOT","RT","A","2014",0.153,
"ESP","POVERTY","TOT","RT","A","2015",0.153,
"SWE","POVERTY","0_17","RT","A","2013",0.09,
"SWE","POVERTY","0_17","RT","A","2014",0.092,
"SWE","POVERTY","0_17","RT","A","2015",0.091,
"SWE","POVERTY","0_17","RT","A","2016",0.089,
"SWE","POVERTY","TOT","RT","A","2013",0.086,
"SWE","POVERTY","TOT","RT","A","2014",0.09,
"SWE","POVERTY","TOT","RT","A","2015",0.092,
"SWE","POVERTY","TOT","RT","A","2016",0.091,
"CHE","POVERTY","0_17","RT","A","2013",0.071,
"CHE","POVERTY","0_17","RT","A","2014",0.099,
"CHE","POVERTY","0_17","RT","A","2015",0.095,
"CHE","POVERTY","TOT","RT","A","2013",0.086,
"CHE","POVERTY","TOT","RT","A","2014",0.099,
"CHE","POVERTY","TOT","RT","A","2015",0.091,
"TUR","POVERTY","0_17","RT","A","2013",0.252,
"TUR","POVERTY","0_17","RT","A","2014",0.253,
"TUR","POVERTY","0_17","RT","A","2015",0.253,
