"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","Q","2016-Q4",5.722721,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q1",5.775165,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q2",5.602316,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q3",5.52339,
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q4",5.460243,
"AUS","UNEMP","TOT","PC_LF","Q","2018-Q1",5.513571,
"AUS","UNEMP","TOT","PC_LF","Q","2018-Q2",5.435661,
"AUS","UNEMP","TOT","PC_LF","Q","2018-Q3",5.188841,
"AUT","UNEMP","TOT","PC_LF","Q","2016-Q4",5.743717,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q1",5.689515,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q2",5.513137,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q3",5.445827,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q4",5.349661,
"AUT","UNEMP","TOT","PC_LF","Q","2018-Q1",5.024465,
"AUT","UNEMP","TOT","PC_LF","Q","2018-Q2",4.763464,
"BEL","UNEMP","TOT","PC_LF","Q","2016-Q4",7.138203,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q1",7.631244,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q2",7.347336,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q3",7.053486,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q4",6.319499,
"BEL","UNEMP","TOT","PC_LF","Q","2018-Q1",6.057782,
"BEL","UNEMP","TOT","PC_LF","Q","2018-Q2",6.364573,
"CAN","UNEMP","TOT","PC_LF","Q","2016-Q4",6.866667,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q1",6.633333,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q2",6.466667,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q3",6.233333,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q4",5.966667,
"CAN","UNEMP","TOT","PC_LF","Q","2018-Q1",5.833333,
"CAN","UNEMP","TOT","PC_LF","Q","2018-Q2",5.866667,
"CAN","UNEMP","TOT","PC_LF","Q","2018-Q3",5.9,
"CZE","UNEMP","TOT","PC_LF","Q","2016-Q4",3.634272,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q1",3.311867,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q2",3.050135,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q3",2.753294,
