LOCATION,WORKINGHOURS_15
Australia,1682.90002441406
Austria,1598.9
Belgium,1545.0
Canada,1711.0
Czech Republic,1756.0
Denmark,1407.0
Finland,1637.0
France,1509.43
Germany,1367.8
Greece,2031.0
Hungary,1748.9
Ireland,1741.0
Italy,1718.0
Japan,1719.0
Korea,2084.0
Luxembourg,1521.0
Mexico,2248.3
Netherlands,1424.0
New Zealand,1757.0
Norway,1423.9
Poland,1963.0
Portugal,1875.0
Slovak Republic,1754.0
Spain,1699.5
Sweden,1610.0
Switzerland,1589.0
United Kingdom,1673.0
United States,1785.0
OECD countries,1767.0
Israel,1858.0
Chile,1988.0
Slovenia,1687.9
Estonia,1852.0
Russia,1978.0
Lithuania,1860.0
Latvia,1902.0
Costa Rica,2148.17999999999
