LOCATION,LE_15
Australia,82.5
Austria,81.3
Belgium,81.1
Canada,81.9
Czech Republic,78.7
Denmark,80.8
Finland,81.6
France,82.4
Germany,80.7
Greece,81.1
Hungary,75.7
Iceland,82.5
Ireland,81.5
Italy,82.6
Japan,83.9
Korea,82.1
Luxembourg,82.4
Mexico,75.0
Netherlands,81.6
New Zealand,81.7
Norway,82.4
Poland,77.6
Portugal,81.2
Slovak Republic,76.7
Spain,82.9
Sweden,82.3
Switzerland,83.0
Turkey,78.0
United Kingdom,81.0
United States,78.7
Brazil,74.8
Chile,79.9
China (People's Republic of),76.0
Estonia,77.7
India,68.4
Indonesia,69.1
Israel,82.1
Russia,71.3
Slovenia,80.9
South Africa,57.5
Latvia,74.6
Costa Rica,79.6
Lithuania,74.5
Colombia,76.2
