LOCATION,P_2015,HAP_15,P_2016,HAP_16,P_17,HAP_17
Norway,78.3,7.522,77.1,7.497999999999999,,
Austria,69.8,7.2,70.2,7.119,,
New Zealand,88.9,7.2860000000000005,87.8,7.334,88.2,7.31400012969971
Belgium,74.6,6.937,73.7,6.928999999999999,,
United States,88.1,7.119,88.0,7.104,,
Turkey,66.4,5.332000000000001,69.4,5.388999999999999,,
Ireland,82.3,6.94,82.8,6.907,,
Hungary,56.3,4.8,59.5,5.145,,
Estonia,51.4,5.428999999999999,52.8,5.517,,
Chile,57.4,6.67,,,,
Luxembourg,70.4,6.946000000000001,69.1,6.871,,
Denmark,71.6,7.527,71.3,7.526,,
Czech Republic,61.2,6.505,60.3,6.596,,
Netherlands,76.2,7.377999999999999,75.9,7.3389999999999995,,
Poland,57.8,5.791,58.4,5.835,,
Canada,89.0,7.4270000000000005,88.4,7.404,,
Germany,64.5,6.75,65.2,6.994,,
Finland,69.8,7.406000000000001,70.2,7.412999999999999,,
Israel,83.9,7.278,83.6,7.267,,
Portugal,46.4,5.102,47.6,5.122999999999999,,
Slovenia,64.8,5.848,64.4,5.768,,
Spain,72.4,6.329,72.4,6.361000000000001,,
Switzerland,79.7,7.587000000000001,77.6,7.5089999999999995,,
Greece,74.4,4.857,73.9,5.033,,
Iceland,76.3,7.561,,,,
Italy,65.6,5.9479999999999995,70.9,5.977,,
United Kingdom,69.8,6.867000000000001,69.0,6.725,,
France,67.8,6.575,66.3,6.478,,
Sweden,77.7,7.364,75.0,7.291,,
Lithuania,42.6,5.832999999999999,43.2,5.813,,
Latvia,46.2,5.098,47.2,5.56,,
Japan,,,35.5,5.921,,
