LOCATION,AVRG_WAGE_15
Australia,49562.796191700596
Austria,49694.512067028896
Belgium,50259.1820690747
Canada,47673.3254254925
Czech Republic,23380.7429536061
Denmark,51125.550211060196
Finland,42885.191348913104
France,42731.3134045579
Germany,46408.609565019695
Greece,26335.9459089031
Hungary,19928.838669673798
Ireland,46560.6626300175
Italy,36769.6675766841
Japan,40003.970864263996
Korea,33424.2830883015
Luxembourg,61975.0971464396
Netherlands,53170.9604153299
Norway,51662.668163931696
Poland,24680.0727838435
Portugal,25164.4538074836
Slovak Republic,23025.889354615698
Spain,39338.9353619615
Sweden,41467.0510335515
Switzerland,62495.28284502019
United Kingdom,43152.1720562389
United States,60691.6617126804
Mexico,15480.820731318301
Israel,33018.9879986887
Slovenia,33699.331893987
Estonia,22839.678852084
Iceland,51758.617053044596
New Zealand,38472.938949333104
Chile,25748.0101323588
Latvia,21587.446375434
Lithuania,21416.7244683409
