LOCATION,AVRG_WAGE_15,HAP_15,AVRG_WAGE_16,HAP_16,AVRG_WAGE_17,HAP_17
Australia,49562.796191700596,7.284,49603.26665623941,7.313,49125.867234182304,7.28399991989136
Austria,49694.512067028896,7.2,50330.455224294295,7.119,50348.9401981944,7.00600004196167
Belgium,50259.1820690747,6.937,50041.0771459814,6.928999999999999,49674.995047686396,6.89099979400635
Canada,47673.3254254925,7.4270000000000005,47370.195521484806,7.404,47621.843652616604,7.31599998474121
Czech Republic,23380.7429536061,6.505,24330.753582817997,6.596,25372.042963487598,6.60900020599365
Denmark,51125.550211060196,7.527,51826.0530970321,7.526,51466.3004625045,7.52199983596802
Finland,42885.191348913104,7.406000000000001,43138.9339313619,7.412999999999999,42963.6679912954,7.468999862670901
France,42731.3134045579,6.575,43220.6120851797,6.478,43755.3289332253,6.44199991226196
Germany,46408.609565019695,6.75,47096.553204158095,6.994,47585.308781889005,6.9510002136230495
Greece,26335.9459089031,4.857,26330.3677055652,5.033,26064.293844866403,5.2270002365112305
Hungary,19928.838669673798,4.8,20824.5134677243,5.145,22575.997502355298,5.32399988174438
Ireland,46560.6626300175,6.94,46932.098673954504,6.907,47652.9265017035,6.9770002365112305
Italy,36769.6675766841,5.9479999999999995,37032.9728706123,5.977,36658.3960819554,5.96400022506714
Japan,40003.970864263996,5.987,40680.894818312205,5.921,40862.605531952,5.92000007629395
Luxembourg,61975.0971464396,6.946000000000001,62090.90020765019,6.871,63062.2057815491,6.86299991607666
Netherlands,53170.9604153299,7.377999999999999,53294.8852909138,7.3389999999999995,52876.50521611691,7.3769998550415
Norway,51662.668163931696,7.522,50824.869699419,7.497999999999999,51212.2142242616,7.537000179290769
Poland,24680.0727838435,5.791,25878.9078035933,5.835,27046.0965519544,5.97300004959106
Portugal,25164.4538074836,5.102,25362.348624295602,5.122999999999999,25366.501677753902,5.19500017166138
Spain,39338.9353619615,6.329,39196.0989726629,6.361000000000001,38507.4944144873,6.40299987792969
Sweden,41467.0510335515,7.364,42154.4897851354,7.291,42392.7553925393,7.28399991989136
Switzerland,62495.28284502019,7.587000000000001,62369.7478854347,7.5089999999999995,62282.5688602117,7.49399995803833
United Kingdom,43152.1720562389,6.867000000000001,43712.6196635994,6.725,43731.542692694,6.71400022506714
United States,60691.6617126804,7.119,60685.807910929696,7.104,60558.358120239296,6.993000030517581
Mexico,15480.820731318301,7.187,15406.7507193331,6.778,15313.939957941102,6.57800006866455
Israel,33018.9879986887,7.278,34071.6082115378,7.267,35067.4493018789,7.212999820709231
Slovenia,33699.331893987,5.848,34732.377019320695,5.768,34932.728296191,5.75799989700317
Estonia,22839.678852084,5.428999999999999,23935.433128419398,5.517,24335.975103884102,5.61100006103516
Iceland,51758.617053044596,7.561,56093.5853787221,7.501,61786.887311739905,7.50400018692017
New Zealand,38472.938949333104,7.2860000000000005,39674.4730156623,7.334,40042.6295981091,7.31400012969971
Chile,25748.0101323588,6.67,26218.877491800897,6.705,25878.9466983828,6.65199995040894
Latvia,21587.446375434,5.098,22726.2934400428,5.56,23683.2583014375,5.849999904632571
Lithuania,21416.7244683409,5.832999999999999,22562.385291953302,5.813,24286.869242824,5.90199995040894
