LOCATION,AVRG_WAGE_16,HAP_16
Australia,49603.26665623941,7.313
Austria,50330.455224294295,7.119
Belgium,50041.0771459814,6.928999999999999
Canada,47370.195521484806,7.404
Czech Republic,24330.753582817997,6.596
Denmark,51826.0530970321,7.526
Finland,43138.9339313619,7.412999999999999
France,43220.6120851797,6.478
Germany,47096.553204158095,6.994
Greece,26330.3677055652,5.033
Hungary,20824.5134677243,5.145
Ireland,46932.098673954504,6.907
Italy,37032.9728706123,5.977
Japan,40680.894818312205,5.921
Luxembourg,62090.90020765019,6.871
Netherlands,53294.8852909138,7.3389999999999995
Norway,50824.869699419,7.497999999999999
Poland,25878.9078035933,5.835
Portugal,25362.348624295602,5.122999999999999
Spain,39196.0989726629,6.361000000000001
Sweden,42154.4897851354,7.291
Switzerland,62369.7478854347,7.5089999999999995
United Kingdom,43712.6196635994,6.725
United States,60685.807910929696,7.104
Mexico,15406.7507193331,6.778
Israel,34071.6082115378,7.267
Slovenia,34732.377019320695,5.768
Estonia,23935.433128419398,5.517
Iceland,56093.5853787221,7.501
New Zealand,39674.4730156623,7.334
Chile,26218.877491800897,6.705
Latvia,22726.2934400428,5.56
Lithuania,22562.385291953302,5.813
