"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2015","2015",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUS","Australia","2016","2016",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2015","2015",81.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","AUT","Austria","2016","2016",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2015","2015",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","BEL","Belgium","2016","2016",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CAN","Canada","2015","2015",81.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2015","2015",78.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CZE","Czech Republic","2016","2016",79.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2015","2015",80.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DNK","Denmark","2016","2016",80.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2015","2015",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FIN","Finland","2016","2016",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","FRA","France","2015","2015",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DEU","Germany","2015","2015",80.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","DEU","Germany","2016","2016",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","GRC","Greece","2015","2015",81.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","GRC","Greece","2016","2016",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","HUN","Hungary","2015","2015",75.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","HUN","Hungary","2016","2016",76.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","ISL","Iceland","2015","2015",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","ISL","Iceland","2016","2016",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","IRL","Ireland","2015","2015",81.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","IRL","Ireland","2016","2016",81.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","ITA","Italy","2015","2015",82.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","ITA","Italy","2016","2016",83.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","JPN","Japan","2015","2015",83.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","JPN","Japan","2016","2016",84.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","KOR","Korea","2015","2015",82.1,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","KOR","Korea","2016","2016",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","LUX","Luxembourg","2015","2015",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","LUX","Luxembourg","2016","2016",82.8,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","MEX","Mexico","2015","2015",75,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","MEX","Mexico","2016","2016",75.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","MEX","Mexico","2017","2017",75.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","NLD","Netherlands","2015","2015",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","NLD","Netherlands","2016","2016",81.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","NZL","New Zealand","2015","2015",81.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","NZL","New Zealand","2016","2016",81.7,"E","Estimated value"
"EVIETOTA","Total population at birth","EVIDUREV","Years","NOR","Norway","2015","2015",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","NOR","Norway","2016","2016",82.5,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","POL","Poland","2015","2015",77.6,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","POL","Poland","2016","2016",78,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","PRT","Portugal","2015","2015",81.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","PRT","Portugal","2016","2016",81.2,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","SVK","Slovak Republic","2015","2015",76.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","SVK","Slovak Republic","2016","2016",77.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","ESP","Spain","2015","2015",82.9,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","ESP","Spain","2016","2016",83.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","SWE","Sweden","2015","2015",82.3,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","SWE","Sweden","2016","2016",82.4,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CHE","Switzerland","2015","2015",83,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","CHE","Switzerland","2016","2016",83.7,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","TUR","Turkey","2015","2015",78,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","TUR","Turkey","2016","2016",78,,
"EVIETOTA","Total population at birth","EVIDUREV","Years","GBR","United Kingdom","2015","2015",81,,
